city_id,city,pop,age,household,individual,house,rent,COLI
1051,"Grapevine, Texas",53982,38.2,100975,43684,323013,1243,96.0
1052,"Harlingen, Texas",65467,31.2,38230,19019,95100,669,79.4
1053,"Houston, Texas",2312717,33.1,50896,31175,173600,986,93.5
1054,"Huntsville, Texas",41277,29.4,35221,16627,180657,842,84.4
1055,"Hurst, Texas",39051,38.9,70954,32189,205535,949,94.6
1056,"Irving, Texas",240373,32.1,62837,30103,187700,1103,94.6
1057,"Keller, Texas",47266,41.2,121474,44289,363994,1338,95.6
1058,"Killeen, Texas",145482,28.7,45404,20877,128300,889,84.9
1059,"Lancaster, Texas",39386,33.3,57306,25423,145898,1056,93.5
1060,"Laredo, Texas",260654,28.8,44494,16880,136400,809,83.2
1061,"Lewisville, Texas",106021,32.7,65578,30984,222200,1222,95.3
1062,"Longview, Texas",81522,34.4,46081,24415,145100,815,83.3
1063,"Lubbock, Texas",253888,30.0,45764,25965,138000,900,84.4
1064,"Lufkin, Texas",35837,35.4,44231,23941,128357,818,80.1
1065,"McAllen, Texas",142696,35.9,44108,21538,131000,746,81.8
1066,"McKinney, Texas",181330,35.9,93546,40938,317200,1377,95.4
1067,"Mansfield, Texas",68928,36.9,88736,36216,247600,1361,95.5
1068,"Mesquite, Texas",143949,32.5,54775,21105,142000,1052,93.7
1069,"Midland, Texas",136089,32.5,75886,38218,204100,1101,84.9
1070,"Mission, Texas",84424,31.7,45285,23568,104400,670,81.2
1071,"Nacogdoches, Texas",33614,25.0,38171,23168,158895,775,81.3
1072,"Odessa, Texas",116861,30.2,58919,25751,157800,948,82.8
1073,"Pasadena, Texas",153520,30.7,50210,21578,122900,864,92.0
1074,"Pearland, Texas",119940,34.7,105806,41282,251400,1353,89.6
1075,"Pflugerville, Texas",63359,38.1,112199,41896,332987,1365,93.7
1076,"Pharr, Texas",79487,29.7,41286,16008,83100,721,81.3
1077,"Plano, Texas",286143,38.9,94306,46412,329500,1371,95.8
1078,"Richardson, Texas",116783,36.5,72635,35414,269900,1297,96.0
1079,"Rockwall, Texas",44208,37.6,95208,40697,289492,1306,95.1
1080,"Rosenberg, Texas",37661,31.8,50538,21950,151300,920,92.7
1081,"Rowlett, Texas",62868,38.6,92881,35484,225110,1572,95.4
1082,"Schertz, Texas",40092,36.5,83440,34025,243034,1285,88.7
1083,"Sherman, Texas",41917,33.0,52192,27581,138883,889,85.1
1084,"Socorro, Texas",34048,31.0,34511,11525,88763,674,81.3
1085,"Temple, Texas",74503,32.2,52416,25853,139000,900,84.9
1086,"Texarkana, Texas",37333,36.0,45556,26447,137786,646,79.5
1087,"Tyler, Texas",104991,34.8,51956,25432,153400,888,85.1
1088,"Victoria, Texas",67106,34.0,49525,25912,144200,898,84.7
1089,"Waco, Texas",136436,28.8,39063,21922,117100,836,84.6
1090,"Weslaco, Texas",40358,33.8,39658,18670,84790,664,81.1
1091,"Wylie, Texas",49826,34.1,78258,29814,202294,1419,94.8
1092,"Bountiful, Utah",44107,35.1,83689,36494,320851,991,87.3
1093,"Clearfield, Utah",31363,29.1,58210,21233,205035,1010,87.2
1094,"Draper, Utah",47710,32.5,106884,35338,474858,1413,92.7
1095,"Layton, Utah",76691,31.8,76371,28653,252300,976,86.6
1096,"Lehi, Utah",62712,25.1,81471,25142,287815,1442,88.1
1097,"Logan, Utah",51115,23.9,40925,19682,194152,756,89.2
1098,"Murray, Utah",49295,36.3,67328,32770,297179,1095,91.9
1099,"Ogden, Utah",87031,32.0,44965,22748,182600,794,87.1
1100,"Orem, Utah",97839,25.0,61729,22859,266600,1006,87.2
1101,"Provo, Utah",117335,24.0,43126,20034,256900,830,87.8
1102,"Riverton, Utah",43344,31.7,94530,27409,340616,1365,91.9
1103,"Roy, Utah",38595,30.9,70918,25584,218116,1012,86.9
1104,"Sandy, Utah",96145,36.4,88481,36689,347300,1168,91.4
1105,"Taylorsville, Utah",59992,33.4,69791,27672,264356,1025,91.0
1106,"Tooele, Utah",34628,31.7,69364,25943,213368,964,89.8
1107,"Burlington, Vermont",42239,26.6,44704,30267,274644,1179,105.9
1108,"Alexandria, Virginia",160035,37.0,100530,57344,573200,1693,174.6
1109,"Blacksburg, Virginia",44563,22.0,39317,22344,320716,1076,90.4
1110,"Charlottesville, Virginia",48019,30.6,47520,26507,271099,1069,94.7
1111,"Chesapeake, Virginia",240397,36.7,76629,33906,270200,1218,96.6
1112,"Danville, Virginia",41130,41.9,41226,26785,160634,625,83.3
1113,"Hampton, Virginia",134669,36.6,54062,30211,184100,1072,96.1
1114,"Harrisonburg, Virginia",54215,23.5,43726,23085,256287,850,88.9
1115,"Leesburg, Virginia",54215,35.5,115988,47080,449193,1574,164.9
1116,"Lynchburg, Virginia",80995,27.8,45239,21654,160400,837,84.5
1117,"Manassas, Virginia",41501,34.3,92358,37749,380593,1443,165.5
1118,"Norfolk, Virginia",244703,30.5,49445,28592,204400,989,96.7
1119,"Petersburg, Virginia",31750,39.2,44216,24970,156722,890,92.4
1120,"Portsmouth, Virginia",94572,36.0,50242,24258,175200,976,96.0
1121,"Richmond, Virginia",227032,34.0,46261,29782,233200,946,94.1
1122,"Roanoke, Virginia",99837,40.0,43799,26705,136300,790,85.9
1123,"Suffolk, Virginia",90237,37.3,70277,32610,252000,1051,96.0
1124,"Auburn, Washington",80776,35.3,69243,31131,323100,1233,114.9
1125,"Bellevue, Washington",144444,39.1,121168,68141,806800,1846,122.6
1126,"Bellingham, Washington",89045,34.5,53369,29729,372600,1061,102.2
1127,"Bothell, Washington",45533,37.0,96012,45526,522712,1764,119.0
1128,"Bremerton, Washington",41041,31.3,52103,28702,228164,955,110.8
1129,"Burien, Washington",51671,37.4,65168,32328,402319,1139,117.6
1130,"Edmonds, Washington",42209,47.0,87546,50506,534947,1383,118.5
1131,"Everett, Washington",110079,35.2,61248,29992,325900,1220,116.2
1132,"Issaquah, Washington",37487,37.1,108210,55360,634145,1968,120.9
1133,"Kennewick, Washington",81607,33.8,51061,25617,200500,838,93.7
1134,"Kent, Washington",128458,34.8,67497,28735,343700,1369,116.2
1135,"Kirkland, Washington",88630,36.8,106722,62723,682300,1768,121.0
1136,"Lacey, Washington",49748,35.6,70156,33179,269757,1301,110.7
1137,"Lakewood, Washington",60296,36.1,51661,28180,272973,993,113.3
1138,"Longview, Washington",37602,39.0,38419,22713,185390,804,94.6
1139,"Lynnwood, Washington",38273,39.3,62303,30083,399342,1103,117.9
1140,"Marysville, Washington",68864,39.0,80981,34697,337000,1314,114.9
1141,"Olympia, Washington",51609,38.8,60287,35255,294381,1093,111.3
1142,"Pasco, Washington",73013,30.3,59200,24171,209000,798,93.4
1143,"Puyallup, Washington",41001,38.4,71271,35369,327310,1206,113.0
1144,"Redmond, Washington",64291,34.3,123721,60427,731191,1951,121.4
1145,"Renton, Washington",101379,36.7,78703,37381,401600,1532,117.7
1146,"Richland, Washington",56243,37.0,71414,37842,272221,1072,94.7
1147,"Sammamish, Washington",64548,38.6,168758,66147,858020,2361,120.6
1148,"Seattle, Washington",724745,35.6,86822,55276,673100,1555,124.9
1149,"Shoreline, Washington",56189,41.6,81842,40702,491289,1451,119.4
1150,"Spokane, Washington",217108,35.7,46543,27682,190200,830,92.5
1151,"Tacoma, Washington",213418,35.9,57164,30451,269800,1071,113.5
1152,"Vancouver, Washington",175673,37.1,61079,30359,290500,1183,102.8
1153,"Wenatchee, Washington",33962,35.8,54431,27745,250779,869,95.3
1154,"Yakima, Washington",93667,32.5,41121,22005,168700,761,94.9
1155,"Appleton, Wisconsin",74653,37.4,58374,33403,148600,779,92.1
1156,"Beloit, Wisconsin",36773,33.9,40311,19658,90060,781,92.4
1157,"Brookfield, Wisconsin",38045,46.2,103151,55604,315442,1538,100.5
1158,"Franklin, Wisconsin",36143,42.9,76265,38723,235761,998,98.2
1159,"Greenfield, Wisconsin",36827,43.8,55921,33574,177056,927,98.2
1160,"Janesville, Wisconsin",64359,39.1,54483,28063,139106,800,92.8
1161,"Kenosha, Wisconsin",99877,34.1,52848,28474,145500,883,104.4
1162,"Madison, Wisconsin",255214,31.3,65072,35802,240700,1095,97.6
1163,"Manitowoc, Wisconsin",32697,42.9,47117,27222,102616,661,76.4
1164,"Milwaukee, Wisconsin",595351,31.9,39098,22098,122300,820,97.4
1165,"Oshkosh, Wisconsin",66665,34.0,49972,25133,128500,734,90.9
1166,"Racine, Wisconsin",77542,32.8,43169,22719,106700,760,94.7
1167,"Sheboygan, Wisconsin",48329,36.3,46500,24141,111987,674,89.7
1168,"Waukesha, Wisconsin",72489,39.0,60923,33306,209800,891,98.1
1169,"Wausau, Wisconsin",38739,39.0,41446,27150,114618,641,90.3
1170,"Wauwatosa, Wisconsin",48277,38.7,76221,42324,237328,1004,98.7
1171,"Casper, Wyoming",57814,35.7,60460,33608,210506,876,81.4
1172,"Cheyenne, Wyoming",63624,36.4,60786,32864,215781,905,83.7
1173,"Laramie, Wyoming",32306,25.7,43571,25883,255755,755,89.2
1174,"Opelika, Alabama",30240,38.7,49563,25490,154869,678,83.1
1175,"Kingman, Arizona",29472,44.4,45754,25802,167573,823,88.0
1176,"Sahuarita, Arizona",29318,35.8,74419,31972,242534,1479,92.2
1177,"Sherwood, Arkansas",31081,38.9,65546,31043,154403,806,84.2
1178,"Atascadero, California",30418,38.8,77300,38269,498664,1363,106.0
1179,"Banning, California",31230,40.7,41748,20533,228763,1039,81.5
1180,"Burlingame, California",30686,40.7,130721,75200,1885396,2245,184.1
1181,"Goleta, California",31116,36.7,91014,40443,800367,1951,118.9
1182,"Saratoga, California",30905,49.2,193041,88744,2264220,2732,168.5
1183,"Fountain, Colorado",29804,30.2,58779,23124,215744,1439,99.0
1184,"Lafayette, Colorado",28328,38.9,81579,43864,395754,1374,114.6
1185,"Windsor, Colorado",25330,39.2,89482,37285,340035,1336,103.5
1186,"Clermont, Florida",35211,42.0,54707,28366,237419,1219,91.9
1187,"Parkland, Florida",32202,40.9,139919,57128,769927,2884,121.2
